item_id,split_name,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,model_name,prompt_version,model_fertilizer,explanation,confidence_statement,uncertainty_or_caution,decision_support_notes,result_model_id,actual_fertilizer,is_model_fertilizer_exact_match,grader_ethan_recommendation_correctness,grader_ethan_explanation_relevance,grader_ethan_clarity,grader_ethan_uncertainty_calibration,grader_ethan_decision_support_usefulness,grader_rachel_recommendation_correctness,grader_rachel_explanation_relevance,grader_rachel_clarity,grader_rachel_uncertainty_calibration,grader_rachel_decision_support_usefulness
FERT-001,split-0-100,26,52,38,Sandy,Maize,37,0,0,gemini,model-instructions-v4,Urea,"With a high nitrogen need of 37 and no P or K deficit, Urea is the optimal choice for Maize in Sandy soil.",The 37-0-0 profile leaves no doubt that a pure nitrogen source like Urea is required.,"Sandy soil at 38 moisture drains quickly, so monitor for rapid nitrogen leaching.",Temperatures of 26C and 52% humidity offer a stable window for top-dressing.,gemini-pro,Urea,true,correct,5,4,1,3,correct,5,4,1,3
FERT-002,split-0-100,29,52,45,Loamy,Sugarcane,12,0,36,gemini,model-instructions-v4,DAP,"Sugarcane in this Loamy plot demands a massive 36 phosphorous boost with moderate 12 nitrogen, fitting DAP perfectly.","Given the zero potassium requirement paired with high P, DAP is the most accurate selection.","At 45 moisture, ensure DAP is incorporated deeply enough to avoid surface loss.",Apply during the 29C heat to support immediate root development in the Sugarcane crop.,gemini-pro,DAP,true,correct,5,4,2,3,correct,5,4,3,3
FERT-003,split-0-100,34,65,62,Black,Cotton,7,9,30,gemini,model-instructions-v4,14-35-14,"The 7 N, 9 K, and dominant 30 P ratio for Cotton strongly aligns with the 14-35-14 blend in Black soil.",High certainty since the roughly 1:4:1 nutrient gap corresponds directly to a 14-35-14 application.,High 62 moisture in Black soil at 34C poses a fungal risk; ensure proper field drainage.,The 65% humidity will aid in dissolving the granular 14-35-14 for root uptake.,gemini-pro,14-35-14,true,correct,5,4,3,4,correct,5,4,3,4
FERT-004,split-0-100,32,62,34,Red,Tobacco,22,0,20,gemini,model-instructions-v4,28-28,"Tobacco here requires balanced, high doses of nitrogen (22) and phosphorous (20), making 28-28 ideal.",Zero potassium and equal N/P needs make 28-28 a highly confident match.,Red soil with low 34 moisture might struggle to absorb nutrients rapidly at 32C.,Schedule application when humidity is near the 62% mark to improve soil integration.,gemini-pro,28-28,true,correct,5,4,3,3,correct,5,4,3,3
FERT-005,split-0-100,28,54,46,Clayey,Paddy,35,0,0,gemini,model-instructions-v4,Urea,"Paddy grown in Clayey conditions needs 35 nitrogen, pointing straight to a Urea application.",A complete lack of K and P requirements guarantees Urea is the correct recommendation.,Watch standing water levels; Clayey soil holding 46 moisture could cause volatilization.,The 28C temperature is excellent for vegetative Paddy growth post-application.,gemini-pro,Urea,true,correct,5,4,1,3,correct,5,4,2,3
FERT-006,split-0-100,26,52,35,Sandy,Barley,12,10,13,gemini,model-instructions-v4,17-17-17,"An even distribution of 12 N, 10 K, and 13 P means Barley will benefit most from a balanced 17-17-17.",Strong match as the nutrients are needed in almost equal proportions.,Sandy soil at 35 moisture dries fast; ensure irrigation follows the balanced NPK drop.,Apply to support tillering in Barley under these stable 52% humidity conditions.,gemini-pro,17-17-17,true,correct,4,3,3,3,correct,4,3,3,3
FERT-007,split-0-100,25,50,64,Red,Cotton,9,0,10,gemini,model-instructions-v4,20-20,Moderate 9 nitrogen and 10 phosphorous needs for Red soil Cotton are best met by 20-20.,Solid recommendation as the 1:1 N to P ratio perfectly aligns with 20-20 specifications.,"High 64 moisture might dilute the 20-20 blend quickly, so monitor crop response.",The cool 25C temp and 50% humidity are ideal for steady Cotton nutrient absorption.,gemini-pro,20-20,true,correct,4,3,1,3,correct,4,3,3,3
FERT-008,split-0-100,33,64,50,Loamy,Wheat,41,0,0,gemini,model-instructions-v4,Urea,"Wheat requires an immense 41 nitrogen boost in this Loamy field, strictly dictating Urea.",The 41-0-0 nutrient gap leaves Urea as the only viable choice.,"Given the 33C heat, volatilization is a major risk at 50 moisture levels.",Split the Urea application to maximize yield potential during 64% humidity spikes.,gemini-pro,Urea,true,correct,4,3,1,3,correct,4,3,1,3
FERT-009,split-0-100,30,60,42,Sandy,Millets,21,0,18,gemini,model-instructions-v4,28-28,Millets demanding 21 N and 18 P in Sandy soil require the balanced punch of 28-28.,Confident in 28-28 due to the simultaneous moderate N and P deficits with zero K.,Sandy fields at 42 moisture can leach; consider multiple smaller 28-28 passes.,The 30C weather is warm enough to trigger active Millets growth post-feeding.,gemini-pro,28-28,true,correct,4,3,3,3,correct,4,3,3,3
FERT-010,split-0-100,29,58,33,Black,Oil seeds,9,7,30,gemini,model-instructions-v4,14-35-14,High phosphorous (30) with low N (9) and K (7) for Oil seeds makes 14-35-14 the clear winner.,Very confident as this Black soil profile precisely mirrors the 14-35-14 nutrient spread.,Low 33 moisture means the 14-35-14 might sit in the soil longer without dissolving.,58% humidity will lightly assist in breaking down the fertilizer at 29C.,gemini-pro,14-35-14,true,correct,4,3,2,3,correct,4,3,3,3
FERT-011,split-0-100,27,54,28,Clayey,Pulses,13,0,40,gemini,model-instructions-v4,DAP,A massive 40 Phosphorous requirement against 13 Nitrogen for Pulses perfectly suits DAP.,Zero potassium and a 1:3 N to P ratio makes DAP the definitive selection here.,Clayey soil with a very low 28 moisture risks nutrient lockout; irrigation is needed.,Apply DAP near the roots to ensure Pulses benefit fully at 27C.,gemini-pro,DAP,true,correct,4,3,1,3,correct,4,3,1,3
